Page,Section,Component,Usage,Image Path,Image Source Type,Viewport,Device Pixel Ratio,Measurement Basis,Full Component Width,Full Component Height,Image Viewport Width,Image Viewport Height,Display Aspect Ratio,Natural Width,Natural Height,Source Aspect Ratio,Current File Size Bytes,Object Fit,Object Position,Overflow,Border Radius,Opacity / Overlay,Cover Scale,Rendered Width,Rendered Height,Overflow CSS Pixels,Crop Direction,Visible Percentage,Crop Percentage,Crop Per Side,Recommended Width,Recommended Height,Recommended Aspect Ratio,Safe Area Horizontal,Safe Area Vertical,Text Overlay Position,Text-free Side EN,Text-free Side AR,Recommended Format,Recommended Max File Size,Notes
Home,Categories,CategoryCard,Category image,/site-images/home/categories-section/coffee-mix.png,Local,Laptop 1280x800,1,Browser measured,246.02,328.01,244.03,326.03,0.7485,1024,1536,0.6667,2173874,cover,50% 50%,hidden,20px,Bottom gradient,0.2383,244.03,366.05,40.02 vertical,Top and bottom,89.07%,10.93%,5.47% top + 5.47% bottom,1200,1600,3:4,10%-90%,10%-65%,None,N/A,N/A,WebP,180 KB,Keep lower area clear for label
Home,Categories,CategoryCard,Category image,/site-images/home/categories-section/coffee-mix.png,Local,Tablet 768x1024,1,Browser measured,230.14,306.85,228.16,304.87,0.7484,1024,1536,0.6667,2173874,cover,50% 50%,hidden,20px,Bottom gradient,0.2228,228.16,342.24,37.37 vertical,Top and bottom,89.08%,10.92%,5.46% top + 5.46% bottom,1200,1600,3:4,10%-90%,10%-65%,None,N/A,N/A,WebP,180 KB,Keep lower area clear for label
Home,Categories,CategoryCard,Category image,/site-images/home/categories-section/coffee-mix.png,Local,Mobile 390x844,1,Browser measured,174.59,232.78,172.61,230.79,0.7479,1024,1536,0.6667,2173874,cover,50% 50%,hidden,20px,Bottom gradient,0.1686,172.61,258.92,28.13 vertical,Top and bottom,89.14%,10.86%,5.43% top + 5.43% bottom,1200,1600,3:4,10%-90%,10%-65%,None,N/A,N/A,WebP,180 KB,Keep lower area clear for label
Home,Categories,CategoryCard,Category image,/site-images/home/categories-section/easy-coffee.png,Local,Desktop 1440x900,1,Browser measured,246.02,328.01,244.03,326.03,0.7485,1024,1536,0.6667,1937689,cover,50% 50%,hidden,20px,Bottom gradient,0.2383,244.03,366.05,40.02 vertical,Top and bottom,89.07%,10.93%,5.47% top + 5.47% bottom,1200,1600,3:4,10%-90%,10%-65%,None,N/A,N/A,WebP,180 KB,Keep lower area clear for label
Home,Categories,CategoryCard,Category image,/site-images/home/categories-section/easy-coffee.png,Local,Laptop 1280x800,1,Browser measured,246.02,328.01,244.03,326.03,0.7485,1024,1536,0.6667,1937689,cover,50% 50%,hidden,20px,Bottom gradient,0.2383,244.03,366.05,40.02 vertical,Top and bottom,89.07%,10.93%,5.47% top + 5.47% bottom,1200,1600,3:4,10%-90%,10%-65%,None,N/A,N/A,WebP,180 KB,Keep lower area clear for label
Home,Categories,CategoryCard,Category image,/site-images/home/categories-section/easy-coffee.png,Local,Tablet 768x1024,1,Browser measured,230.14,306.85,228.16,304.87,0.7484,1024,1536,0.6667,1937689,cover,50% 50%,hidden,20px,Bottom gradient,0.2228,228.16,342.24,37.37 vertical,Top and bottom,89.08%,10.92%,5.46% top + 5.46% bottom,1200,1600,3:4,10%-90%,10%-65%,None,N/A,N/A,WebP,180 KB,Keep lower area clear for label
Home,Categories,CategoryCard,Category image,/site-images/home/categories-section/easy-coffee.png,Local,Mobile 390x844,1,Browser measured,174.59,232.78,172.61,230.79,0.7479,1024,1536,0.6667,1937689,cover,50% 50%,hidden,20px,Bottom gradient,0.1686,172.61,258.92,28.13 vertical,Top and bottom,89.14%,10.86%,5.43% top + 5.43% bottom,1200,1600,3:4,10%-90%,10%-65%,None,N/A,N/A,WebP,180 KB,Keep lower area clear for label
Home,Categories,CategoryCard,Category image,/site-images/home/categories-section/espresso-blends.png,Local,Desktop 1440x900,1,Browser measured,246.02,328.01,244.03,326.03,0.7485,1024,1536,0.6667,2122431,cover,50% 50%,hidden,20px,Bottom gradient,0.2383,244.03,366.05,40.02 vertical,Top and bottom,89.07%,10.93%,5.47% top + 5.47% bottom,1200,1600,3:4,10%-90%,10%-65%,None,N/A,N/A,WebP,180 KB,Keep lower area clear for label
Home,Categories,CategoryCard,Category image,/site-images/home/categories-section/espresso-blends.png,Local,Laptop 1280x800,1,Browser measured,246.02,328.01,244.03,326.03,0.7485,1024,1536,0.6667,2122431,cover,50% 50%,hidden,20px,Bottom gradient,0.2383,244.03,366.05,40.02 vertical,Top and bottom,89.07%,10.93%,5.47% top + 5.47% bottom,1200,1600,3:4,10%-90%,10%-65%,None,N/A,N/A,WebP,180 KB,Keep lower area clear for label
Home,Categories,CategoryCard,Category image,/site-images/home/categories-section/espresso-blends.png,Local,Tablet 768x1024,1,Browser measured,230.14,306.85,228.16,304.87,0.7484,1024,1536,0.6667,2122431,cover,50% 50%,hidden,20px,Bottom gradient,0.2228,228.16,342.24,37.37 vertical,Top and bottom,89.08%,10.92%,5.46% top + 5.46% bottom,1200,1600,3:4,10%-90%,10%-65%,None,N/A,N/A,WebP,180 KB,Keep lower area clear for label
Home,Categories,CategoryCard,Category image,/site-images/home/categories-section/espresso-blends.png,Local,Mobile 390x844,1,Browser measured,174.59,232.78,172.61,230.79,0.7479,1024,1536,0.6667,2122431,cover,50% 50%,hidden,20px,Bottom gradient,0.1686,172.61,258.92,28.13 vertical,Top and bottom,89.14%,10.86%,5.43% top + 5.43% bottom,1200,1600,3:4,10%-90%,10%-65%,None,N/A,N/A,WebP,180 KB,Keep lower area clear for label
Home,Categories,CategoryCard,Category image,/site-images/home/categories-section/flavor-coffee.png,Local,Desktop 1440x900,1,Browser measured,246.02,328.01,244.03,326.03,0.7485,1024,1536,0.6667,1757726,cover,50% 50%,hidden,20px,Bottom gradient,0.2383,244.03,366.05,40.02 vertical,Top and bottom,89.07%,10.93%,5.47% top + 5.47% bottom,1200,1600,3:4,10%-90%,10%-65%,None,N/A,N/A,WebP,180 KB,Keep lower area clear for label
Home,Categories,CategoryCard,Category image,/site-images/home/categories-section/flavor-coffee.png,Local,Laptop 1280x800,1,Browser measured,246.02,328.01,244.03,326.03,0.7485,1024,1536,0.6667,1757726,cover,50% 50%,hidden,20px,Bottom gradient,0.2383,244.03,366.05,40.02 vertical,Top and bottom,89.07%,10.93%,5.47% top + 5.47% bottom,1200,1600,3:4,10%-90%,10%-65%,None,N/A,N/A,WebP,180 KB,Keep lower area clear for label
Home,Categories,CategoryCard,Category image,/site-images/home/categories-section/flavor-coffee.png,Local,Tablet 768x1024,1,Browser measured,230.14,306.85,228.16,304.87,0.7484,1024,1536,0.6667,1757726,cover,50% 50%,hidden,20px,Bottom gradient,0.2228,228.16,342.24,37.37 vertical,Top and bottom,89.08%,10.92%,5.46% top + 5.46% bottom,1200,1600,3:4,10%-90%,10%-65%,None,N/A,N/A,WebP,180 KB,Keep lower area clear for label
Home,Categories,CategoryCard,Category image,/site-images/home/categories-section/flavor-coffee.png,Local,Mobile 390x844,1,Browser measured,174.59,232.78,172.61,230.79,0.7479,1024,1536,0.6667,1757726,cover,50% 50%,hidden,20px,Bottom gradient,0.1686,172.61,258.92,28.13 vertical,Top and bottom,89.14%,10.86%,5.43% top + 5.43% bottom,1200,1600,3:4,10%-90%,10%-65%,None,N/A,N/A,WebP,180 KB,Keep lower area clear for label
Home,Categories,CategoryCard,Category image,/site-images/home/categories-section/make-your-espresso.png,Local,Desktop 1440x900,1,Browser measured,246.02,328.01,244.03,326.03,0.7485,1086,1448,0.7500,2000481,cover,50% 50%,hidden,20px,Bottom gradient,0.2252,244.52,326.03,0.49 horizontal,Left and right,99.80%,0.20%,0.10% left + 0.10% right,1200,1600,3:4,10%-90%,10%-65%,None,N/A,N/A,WebP,180 KB,Source already 3:4; no ratio crop
Home,Categories,CategoryCard,Category image,/site-images/home/categories-section/make-your-espresso.png,Local,Laptop 1280x800,1,Browser measured,246.02,328.01,244.03,326.03,0.7485,1086,1448,0.7500,2000481,cover,50% 50%,hidden,20px,Bottom gradient,0.2252,244.52,326.03,0.49 horizontal,Left and right,99.80%,0.20%,0.10% left + 0.10% right,1200,1600,3:4,10%-90%,10%-65%,None,N/A,N/A,WebP,180 KB,Source already 3:4; no ratio crop
Home,Categories,CategoryCard,Category image,/site-images/home/categories-section/make-your-espresso.png,Local,Tablet 768x1024,1,Browser measured,230.14,306.85,228.16,304.87,0.7484,1086,1448,0.7500,2000481,cover,50% 50%,hidden,20px,Bottom gradient,0.2105,228.65,304.87,0.49 horizontal,Left and right,99.78%,0.22%,0.11% left + 0.11% right,1200,1600,3:4,10%-90%,10%-65%,None,N/A,N/A,WebP,180 KB,Source already 3:4; no ratio crop
Home,Categories,CategoryCard,Category image,/site-images/home/categories-section/make-your-espresso.png,Local,Mobile 390x844,1,Browser measured,174.59,232.78,172.61,230.79,0.7479,1086,1448,0.7500,2000481,cover,50% 50%,hidden,20px,Bottom gradient,0.1594,173.09,230.79,0.48 horizontal,Left and right,99.72%,0.28%,0.14% left + 0.14% right,1200,1600,3:4,10%-90%,10%-65%,None,N/A,N/A,WebP,180 KB,Source already 3:4; no ratio crop
Home,Categories,CategoryCard,Category image,/site-images/home/categories-section/turkish-blends.png,Local,Desktop 1440x900,1,Browser measured,246.02,328.01,244.03,326.03,0.7485,1024,1536,0.6667,1878760,cover,50% 50%,hidden,20px,Bottom gradient,0.2383,244.03,366.05,40.02 vertical,Top and bottom,89.07%,10.93%,5.47% top + 5.47% bottom,1200,1600,3:4,10%-90%,10%-65%,None,N/A,N/A,WebP,180 KB,Keep lower area clear for label
Home,Categories,CategoryCard,Category image,/site-images/home/categories-section/turkish-blends.png,Local,Laptop 1280x800,1,Browser measured,246.02,328.01,244.03,326.03,0.7485,1024,1536,0.6667,1878760,cover,50% 50%,hidden,20px,Bottom gradient,0.2383,244.03,366.05,40.02 vertical,Top and bottom,89.07%,10.93%,5.47% top + 5.47% bottom,1200,1600,3:4,10%-90%,10%-65%,None,N/A,N/A,WebP,180 KB,Keep lower area clear for label
Home,Categories,CategoryCard,Category image,/site-images/home/categories-section/turkish-blends.png,Local,Tablet 768x1024,1,Browser measured,230.14,306.85,228.16,304.87,0.7484,1024,1536,0.6667,1878760,cover,50% 50%,hidden,20px,Bottom gradient,0.2228,228.16,342.24,37.37 vertical,Top and bottom,89.08%,10.92%,5.46% top + 5.46% bottom,1200,1600,3:4,10%-90%,10%-65%,None,N/A,N/A,WebP,180 KB,Keep lower area clear for label
Home,Categories,CategoryCard,Category image,/site-images/home/categories-section/turkish-blends.png,Local,Mobile 390x844,1,Browser measured,174.59,232.78,172.61,230.79,0.7479,1024,1536,0.6667,1878760,cover,50% 50%,hidden,20px,Bottom gradient,0.1686,172.61,258.92,28.13 vertical,Top and bottom,89.14%,10.86%,5.43% top + 5.43% bottom,1200,1600,3:4,10%-90%,10%-65%,None,N/A,N/A,WebP,180 KB,Keep lower area clear for label
Home,Hero,HomeHero,Slide 01,/site-images/home/hero-section/01-dark-roast.png,Local,Desktop 1440x900,1,Browser measured,1425,900,1425,900,1.5833,1717,916,1.8745,1673560,cover,50% 50%,hidden,0px,black 0.44 + vignette 0.32 + gradients,0.9825,1687.01,900.00,262.01 horizontal,Left and right,84.47%,15.53%,7.77% left + 7.77% right,2000,2400,5:6,23%-77%,24%-76%,None,right side is less occupied by live EN title,left side is less occupied by live AR title,WebP,450 KB,Mobile shows only 23.70% of source width; separate mobile art direction recommended
Home,Hero,HomeHero,Slide 01,/site-images/home/hero-section/01-dark-roast.png,Local,Laptop 1280x800,1,Browser measured,1265,800,1265,800,1.5813,1717,916,1.8745,1673560,cover,50% 50%,hidden,0px,black 0.44 + vignette 0.32 + gradients,0.8734,1499.56,800.00,234.56 horizontal,Left and right,84.36%,15.64%,7.82% left + 7.82% right,2000,2400,5:6,23%-77%,24%-76%,None,right side is less occupied by live EN title,left side is less occupied by live AR title,WebP,450 KB,Mobile shows only 23.70% of source width; separate mobile art direction recommended
Home,Hero,HomeHero,Slide 01,/site-images/home/hero-section/01-dark-roast.png,Local,Tablet 768x1024,1,Browser measured,753,1024,753,1024,0.7354,1717,916,1.8745,1673560,cover,50% 50%,hidden,0px,black 0.44 + vignette 0.32 + gradients,1.1179,1919.44,1024.00,1166.44 horizontal,Left and right,39.23%,60.77%,30.38% left + 30.38% right,2000,2400,5:6,23%-77%,24%-76%,None,right side is less occupied by live EN title,left side is less occupied by live AR title,WebP,450 KB,Mobile shows only 23.70% of source width; separate mobile art direction recommended
Home,Hero,HomeHero,Slide 01,/site-images/home/hero-section/01-dark-roast.png,Local,Mobile 390x844,1,Browser measured,375,844,375,844,0.4443,1717,916,1.8745,1673560,cover,50% 50%,hidden,0px,black 0.44 + vignette 0.32 + gradients,0.9214,1582.04,844.00,1207.04 horizontal,Left and right,23.70%,76.30%,38.15% left + 38.15% right,2000,2400,5:6,23%-77%,24%-76%,None,right side is less occupied by live EN title,left side is less occupied by live AR title,WebP,450 KB,Mobile shows only 23.70% of source width; separate mobile art direction recommended
Home,Hero,HomeHero,Slide 02,/site-images/home/hero-section/02-espresso-studio.png,Local,Desktop 1440x900,1,Browser measured,1425,900,1425,900,1.5833,1024,1536,0.6667,1812504,cover,50% 50%,hidden,0px,black 0.44 + vignette 0.32 + gradients,1.3916,1425.00,2137.50,1237.50 vertical,Top and bottom,42.11%,57.89%,28.95% top + 28.95% bottom,2000,2400,5:6,23%-77%,24%-76%,None,right side is less occupied by live EN title,left side is less occupied by live AR title,WebP,450 KB,Desktop crops 57.89% vertically
Home,Hero,HomeHero,Slide 02,/site-images/home/hero-section/02-espresso-studio.png,Local,Laptop 1280x800,1,Browser measured,1265,800,1265,800,1.5813,1024,1536,0.6667,1812504,cover,50% 50%,hidden,0px,black 0.44 + vignette 0.32 + gradients,1.2354,1265.00,1897.50,1097.50 vertical,Top and bottom,42.16%,57.84%,28.92% top + 28.92% bottom,2000,2400,5:6,23%-77%,24%-76%,None,right side is less occupied by live EN title,left side is less occupied by live AR title,WebP,450 KB,Desktop crops 57.89% vertically
Home,Hero,HomeHero,Slide 02,/site-images/home/hero-section/02-espresso-studio.png,Local,Tablet 768x1024,1,Browser measured,753,1024,753,1024,0.7354,1024,1536,0.6667,1812504,cover,50% 50%,hidden,0px,black 0.44 + vignette 0.32 + gradients,0.7354,753.00,1129.50,105.50 vertical,Top and bottom,90.66%,9.34%,4.67% top + 4.67% bottom,2000,2400,5:6,23%-77%,24%-76%,None,right side is less occupied by live EN title,left side is less occupied by live AR title,WebP,450 KB,Desktop crops 57.89% vertically
Home,Hero,HomeHero,Slide 02,/site-images/home/hero-section/02-espresso-studio.png,Local,Mobile 390x844,1,Browser measured,375,844,375,844,0.4443,1024,1536,0.6667,1812504,cover,50% 50%,hidden,0px,black 0.44 + vignette 0.32 + gradients,0.5495,562.67,844.00,187.67 horizontal,Left and right,66.65%,33.35%,16.68% left + 16.68% right,2000,2400,5:6,23%-77%,24%-76%,None,right side is less occupied by live EN title,left side is less occupied by live AR title,WebP,450 KB,Desktop crops 57.89% vertically
Home,Hero,HomeHero,Slide 03,/site-images/home/hero-section/03-flavor-studio.png,Local,Desktop 1440x900,1,Browser measured,1425,900,1425,900,1.5833,1024,1536,0.6667,1757726,cover,50% 50%,hidden,0px,black 0.44 + vignette 0.32 + gradients,1.3916,1425.00,2137.50,1237.50 vertical,Top and bottom,42.11%,57.89%,28.95% top + 28.95% bottom,2000,2400,5:6,23%-77%,24%-76%,None,right side is less occupied by live EN title,left side is less occupied by live AR title,WebP,450 KB,Desktop crops 57.89% vertically
Home,Hero,HomeHero,Slide 03,/site-images/home/hero-section/03-flavor-studio.png,Local,Laptop 1280x800,1,Browser measured,1265,800,1265,800,1.5813,1024,1536,0.6667,1757726,cover,50% 50%,hidden,0px,black 0.44 + vignette 0.32 + gradients,1.2354,1265.00,1897.50,1097.50 vertical,Top and bottom,42.16%,57.84%,28.92% top + 28.92% bottom,2000,2400,5:6,23%-77%,24%-76%,None,right side is less occupied by live EN title,left side is less occupied by live AR title,WebP,450 KB,Desktop crops 57.89% vertically
Home,Hero,HomeHero,Slide 03,/site-images/home/hero-section/03-flavor-studio.png,Local,Tablet 768x1024,1,Browser measured,753,1024,753,1024,0.7354,1024,1536,0.6667,1757726,cover,50% 50%,hidden,0px,black 0.44 + vignette 0.32 + gradients,0.7354,753.00,1129.50,105.50 vertical,Top and bottom,90.66%,9.34%,4.67% top + 4.67% bottom,2000,2400,5:6,23%-77%,24%-76%,None,right side is less occupied by live EN title,left side is less occupied by live AR title,WebP,450 KB,Desktop crops 57.89% vertically
Home,Hero,HomeHero,Slide 03,/site-images/home/hero-section/03-flavor-studio.png,Local,Mobile 390x844,1,Browser measured,375,844,375,844,0.4443,1024,1536,0.6667,1757726,cover,50% 50%,hidden,0px,black 0.44 + vignette 0.32 + gradients,0.5495,562.67,844.00,187.67 horizontal,Left and right,66.65%,33.35%,16.68% left + 16.68% right,2000,2400,5:6,23%-77%,24%-76%,None,right side is less occupied by live EN title,left side is less occupied by live AR title,WebP,450 KB,Desktop crops 57.89% vertically
Home,Journal,JournalCard,Article image,/site-images/home/journal-section/01-roast-notes.png,Local,Desktop 1440x900,1,Browser measured,399.43,357.74,397.45,222.21,1.7886,1024,1536,0.6667,1812504,cover,50% 50%,hidden,20px,,0.3881,397.45,596.17,373.96 vertical,Top and bottom,37.27%,62.73%,31.36% top + 31.36% bottom,1600,1200,4:3,13%-87%,13%-87%,None,None,None,WebP,220 KB,Mixed near-square/wide viewport
Home,Journal,JournalCard,Article image,/site-images/home/journal-section/01-roast-notes.png,Local,Laptop 1280x800,1,Browser measured,394.47,357.74,392.49,222.21,1.7663,1024,1536,0.6667,1812504,cover,50% 50%,hidden,20px,,0.3833,392.49,588.74,366.52 vertical,Top and bottom,37.74%,62.26%,31.13% top + 31.13% bottom,1600,1200,4:3,13%-87%,13%-87%,None,None,None,WebP,220 KB,Mixed near-square/wide viewport
Home,Journal,JournalCard,Article image,/site-images/home/journal-section/01-roast-notes.png,Local,Tablet 768x1024,1,Browser measured,225.18,400.05,223.2,222.21,1.0045,1024,1536,0.6667,1812504,cover,50% 50%,hidden,20px,,0.2180,223.20,334.80,112.59 vertical,Top and bottom,66.37%,33.63%,16.81% top + 16.81% bottom,1600,1200,4:3,13%-87%,13%-87%,None,None,None,WebP,220 KB,Mixed near-square/wide viewport
Home,Journal,JournalCard,Article image,/site-images/home/journal-section/01-roast-notes.png,Local,Mobile 390x844,1,Browser measured,340.26,340.77,338.27,206.34,1.6394,1024,1536,0.6667,1812504,cover,50% 50%,hidden,20px,,0.3303,338.27,507.40,301.06 vertical,Top and bottom,40.67%,59.33%,29.67% top + 29.67% bottom,1600,1200,4:3,13%-87%,13%-87%,None,None,None,WebP,220 KB,Mixed near-square/wide viewport
Home,Journal,JournalCard,Article image,/site-images/home/journal-section/02-blend-guide.png,Local,Desktop 1440x900,1,Browser measured,399.43,357.74,397.45,222.21,1.7886,1024,1536,0.6667,2122431,cover,50% 50%,hidden,20px,,0.3881,397.45,596.17,373.96 vertical,Top and bottom,37.27%,62.73%,31.36% top + 31.36% bottom,1600,1200,4:3,13%-87%,13%-87%,None,None,None,WebP,220 KB,Mixed near-square/wide viewport
Home,Journal,JournalCard,Article image,/site-images/home/journal-section/02-blend-guide.png,Local,Laptop 1280x800,1,Browser measured,394.47,357.74,392.49,222.21,1.7663,1024,1536,0.6667,2122431,cover,50% 50%,hidden,20px,,0.3833,392.49,588.74,366.52 vertical,Top and bottom,37.74%,62.26%,31.13% top + 31.13% bottom,1600,1200,4:3,13%-87%,13%-87%,None,None,None,WebP,220 KB,Mixed near-square/wide viewport
Home,Journal,JournalCard,Article image,/site-images/home/journal-section/02-blend-guide.png,Local,Tablet 768x1024,1,Browser measured,225.18,400.05,223.2,222.21,1.0045,1024,1536,0.6667,2122431,cover,50% 50%,hidden,20px,,0.2180,223.20,334.80,112.59 vertical,Top and bottom,66.37%,33.63%,16.81% top + 16.81% bottom,1600,1200,4:3,13%-87%,13%-87%,None,None,None,WebP,220 KB,Mixed near-square/wide viewport
Home,Journal,JournalCard,Article image,/site-images/home/journal-section/02-blend-guide.png,Local,Mobile 390x844,1,Browser measured,340.26,340.77,338.27,206.34,1.6394,1024,1536,0.6667,2122431,cover,50% 50%,hidden,20px,,0.3303,338.27,507.40,301.06 vertical,Top and bottom,40.67%,59.33%,29.67% top + 29.67% bottom,1600,1200,4:3,13%-87%,13%-87%,None,None,None,WebP,220 KB,Mixed near-square/wide viewport
Home,Journal,JournalCard,Article image,/site-images/home/journal-section/03-keeping-it-fresh.png,Local,Desktop 1440x900,1,Browser measured,399.43,357.74,397.45,222.21,1.7886,1024,1536,0.6667,2173874,cover,50% 50%,hidden,20px,,0.3881,397.45,596.17,373.96 vertical,Top and bottom,37.27%,62.73%,31.36% top + 31.36% bottom,1600,1200,4:3,13%-87%,13%-87%,None,None,None,WebP,220 KB,Mixed near-square/wide viewport
Home,Journal,JournalCard,Article image,/site-images/home/journal-section/03-keeping-it-fresh.png,Local,Laptop 1280x800,1,Browser measured,394.47,357.74,392.49,222.21,1.7663,1024,1536,0.6667,2173874,cover,50% 50%,hidden,20px,,0.3833,392.49,588.74,366.52 vertical,Top and bottom,37.74%,62.26%,31.13% top + 31.13% bottom,1600,1200,4:3,13%-87%,13%-87%,None,None,None,WebP,220 KB,Mixed near-square/wide viewport
Home,Journal,JournalCard,Article image,/site-images/home/journal-section/03-keeping-it-fresh.png,Local,Tablet 768x1024,1,Browser measured,225.18,400.05,223.2,222.21,1.0045,1024,1536,0.6667,2173874,cover,50% 50%,hidden,20px,,0.2180,223.20,334.80,112.59 vertical,Top and bottom,66.37%,33.63%,16.81% top + 16.81% bottom,1600,1200,4:3,13%-87%,13%-87%,None,None,None,WebP,220 KB,Mixed near-square/wide viewport
Home,Journal,JournalCard,Article image,/site-images/home/journal-section/03-keeping-it-fresh.png,Local,Mobile 390x844,1,Browser measured,340.26,340.77,338.27,206.34,1.6394,1024,1536,0.6667,2173874,cover,50% 50%,hidden,20px,,0.3303,338.27,507.40,301.06 vertical,Top and bottom,40.67%,59.33%,29.67% top + 29.67% bottom,1600,1200,4:3,13%-87%,13%-87%,None,None,None,WebP,220 KB,Mixed near-square/wide viewport
Home,Social Gallery,SocialGallery,Featured image,/site-images/home/social-gallery-section/01-flavor.png,Local,Desktop 1440x900,1,Browser measured,820.04,396.8,818.06,394.82,2.0720,1024,1536,0.6667,1757726,cover,50% 50%,hidden,20px,,0.7989,818.06,1227.09,832.27 vertical,Top and bottom,32.18%,67.82%,33.91% top + 33.91% bottom,1600,1200,4:3,10%-90%,24%-76%,None,None,None,WebP,220 KB,Mobile featured tile is extremely wide
Home,Social Gallery,SocialGallery,Featured image,/site-images/home/social-gallery-section/01-flavor.png,Local,Laptop 1280x800,1,Browser measured,810.12,396.8,808.14,394.82,2.0469,1024,1536,0.6667,1757726,cover,50% 50%,hidden,20px,,0.7892,808.14,1212.21,817.39 vertical,Top and bottom,32.57%,67.43%,33.71% top + 33.71% bottom,1600,1200,4:3,10%-90%,24%-76%,None,None,None,WebP,220 KB,Mobile featured tile is extremely wide
Home,Social Gallery,SocialGallery,Featured image,/site-images/home/social-gallery-section/01-flavor.png,Local,Tablet 768x1024,1,Browser measured,471.53,333.31,469.54,331.33,1.4171,1024,1536,0.6667,1757726,cover,50% 50%,hidden,20px,,0.4585,469.54,704.31,372.98 vertical,Top and bottom,47.04%,52.96%,26.48% top + 26.48% bottom,1600,1200,4:3,10%-90%,24%-76%,None,None,None,WebP,220 KB,Mobile featured tile is extremely wide
Home,Social Gallery,SocialGallery,Featured image,/site-images/home/social-gallery-section/01-flavor.png,Local,Mobile 390x844,1,Browser measured,340.26,134.91,338.27,132.93,2.5447,1024,1536,0.6667,1757726,cover,50% 50%,hidden,20px,,0.3303,338.27,507.40,374.47 vertical,Top and bottom,26.20%,73.80%,36.90% top + 36.90% bottom,1600,1200,4:3,10%-90%,24%-76%,None,None,None,WebP,220 KB,Mobile featured tile is extremely wide
Home,Social Gallery,SocialGallery,Secondary tile,/site-images/home/social-gallery-section/02-espresso.png,Local,Desktop 1440x900,1,Browser measured,402.1,190.46,400.1,188.48,2.1228,1024,1536,0.6667,2122431,cover,50% 50%,hidden,20px,,0.3907,400.10,600.15,411.67 vertical,Top and bottom,31.41%,68.59%,34.30% top + 34.30% bottom,1600,1200,4:3,10%-90%,24%-76%,None,None,None,WebP,220 KB,Variable responsive ratio
Home,Social Gallery,SocialGallery,Secondary tile,/site-images/home/social-gallery-section/02-espresso.png,Local,Laptop 1280x800,1,Browser measured,397.14,190.46,395.14,188.48,2.0965,1024,1536,0.6667,2122431,cover,50% 50%,hidden,20px,,0.3859,395.14,592.71,404.23 vertical,Top and bottom,31.80%,68.20%,34.10% top + 34.10% bottom,1600,1200,4:3,10%-90%,24%-76%,None,None,None,WebP,220 KB,Variable responsive ratio
Home,Social Gallery,SocialGallery,Secondary tile,/site-images/home/social-gallery-section/02-espresso.png,Local,Tablet 768x1024,1,Browser measured,227.83,158.72,225.85,156.74,1.4409,1024,1536,0.6667,2122431,cover,50% 50%,hidden,20px,,0.2206,225.85,338.77,182.03 vertical,Top and bottom,46.27%,53.73%,26.87% top + 26.87% bottom,1600,1200,4:3,10%-90%,24%-76%,None,None,None,WebP,220 KB,Variable responsive ratio
Home,Social Gallery,SocialGallery,Secondary tile,/site-images/home/social-gallery-section/02-espresso.png,Local,Mobile 390x844,1,Browser measured,164.18,134.91,162.19,132.93,1.2201,1024,1536,0.6667,2122431,cover,50% 50%,hidden,20px,,0.1584,162.19,243.28,110.35 vertical,Top and bottom,54.64%,45.36%,22.68% top + 22.68% bottom,1600,1200,4:3,10%-90%,24%-76%,None,None,None,WebP,220 KB,Variable responsive ratio
Home,Social Gallery,SocialGallery,Secondary tile,/site-images/home/social-gallery-section/03-classic-pouch.png,Local,Desktop 1440x900,1,Browser measured,402.1,190.46,400.1,188.48,2.1228,1024,1536,0.6667,2173874,cover,50% 50%,hidden,20px,,0.3907,400.10,600.15,411.67 vertical,Top and bottom,31.41%,68.59%,34.30% top + 34.30% bottom,1600,1200,4:3,10%-90%,24%-76%,None,None,None,WebP,220 KB,Variable responsive ratio
Home,Social Gallery,SocialGallery,Secondary tile,/site-images/home/social-gallery-section/03-classic-pouch.png,Local,Laptop 1280x800,1,Browser measured,397.14,190.46,395.14,188.48,2.0965,1024,1536,0.6667,2173874,cover,50% 50%,hidden,20px,,0.3859,395.14,592.71,404.23 vertical,Top and bottom,31.80%,68.20%,34.10% top + 34.10% bottom,1600,1200,4:3,10%-90%,24%-76%,None,None,None,WebP,220 KB,Variable responsive ratio
Home,Social Gallery,SocialGallery,Secondary tile,/site-images/home/social-gallery-section/03-classic-pouch.png,Local,Tablet 768x1024,1,Browser measured,227.83,158.72,225.85,156.74,1.4409,1024,1536,0.6667,2173874,cover,50% 50%,hidden,20px,,0.2206,225.85,338.77,182.03 vertical,Top and bottom,46.27%,53.73%,26.87% top + 26.87% bottom,1600,1200,4:3,10%-90%,24%-76%,None,None,None,WebP,220 KB,Variable responsive ratio
Home,Social Gallery,SocialGallery,Secondary tile,/site-images/home/social-gallery-section/03-classic-pouch.png,Local,Mobile 390x844,1,Browser measured,164.18,134.91,162.19,132.93,1.2201,1024,1536,0.6667,2173874,cover,50% 50%,hidden,20px,,0.1584,162.19,243.28,110.35 vertical,Top and bottom,54.64%,45.36%,22.68% top + 22.68% bottom,1600,1200,4:3,10%-90%,24%-76%,None,None,None,WebP,220 KB,Variable responsive ratio
